Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,2.0,20.0,-33.0
Query 2,2.0,20.0,-12.0
Query 3,1.0,10.0,0.0
Query 4,2.0,20.0,-52.0
Query 5,2.0,20.0,-1.0
Query 6,1.0,10.0,0.0
Query 7,2.0,20.0,0.0
Query 8,2.0,20.0,-16.0
Query 9,4.0,40.0,-2.1
Query 10,0.0,0.0,0.0
Query 11,4.0,40.0,-7.0
Query 12,2.0,20.0,-71.0
Query 13,1.0,10.0,0.0
Query 14,1.0,10.0,1.0
Query 15,3.0,30.0,-7.25
Query 16,4.0,40.0,-9.5
Query 17,3.0,30.0,-0.5
Query 18,2.0,20.0,-67.0
Query 19,2.0,20.0,-3.0
Query 20,0.0,0.0,0.0
Query 21,2.0,20.0,-44.0
Query 22,0.0,0.0,0.0
Query 23,3.0,30.0,-9.25
Query 24,2.0,20.0,-25.0
Query 25,2.0,20.0,-12.0
Query 26,1.0,10.0,0.0
Query 27,1.0,10.0,0.0
Query 28,4.0,40.0,-10.5
Query 29,1.0,10.0,0.0
Query 30,3.0,30.0,-6.25
Query 31,4.0,40.0,-11.3
Query 32,3.0,30.0,-20.0
Query 33,3.0,30.0,-5.25
Query 34,5.0,50.0,-3.5
Query 35,0.0,0.0,0.0
Query 36,1.0,10.0,0.0
Query 37,1.0,10.0,0.0
Query 38,1.0,10.0,0.0
Query 39,2.0,20.0,-28.0
Query 40,5.0,50.0,-3.0999999999999996
Query 41,4.0,40.0,-5.2
Query 42,3.0,30.0,-6.25
Query 43,2.0,20.0,-16.0
Query 44,3.0,30.0,-12.25
Query 45,1.0,10.0,0.0
Query 46,2.0,20.0,-1.0
Query 47,1.0,10.0,0.0
Query 48,5.0,50.0,-2.75
Query 49,6.0,60.0,0.6571428571428571
Query 50,2.0,20.0,-49.0
Query 51,2.0,20.0,-4.0
Query 52,4.0,40.0,-3.9000000000000004
Query 53,3.0,30.0,-11.0
Query 54,2.0,20.0,-39.0
Query 55,3.0,30.0,-11.5
Query 56,6.0,60.0,-2.4571428571428573
Query 57,1.0,10.0,0.0
Query 58,1.0,10.0,0.0
Query 59,4.0,40.0,-8.3
Query 60,1.0,10.0,0.0
Query 61,1.0,10.0,0.0
Query 62,0.0,0.0,0.0
Query 63,4.0,40.0,-5.6
Query 64,3.0,30.0,-16.0
Query 65,2.0,20.0,-1.0
Query 66,3.0,30.0,-2.5
Query 67,2.0,20.0,-9.0
Query 68,4.0,40.0,-4.0
Query 69,0.0,0.0,0.0
Query 70,2.0,20.0,-25.0
Query 71,5.0,50.0,-4.7
Query 72,0.0,0.0,0.0
Query 73,0.0,0.0,0.0
Query 74,2.0,20.0,-64.0
Query 75,5.0,50.0,-3.05
Query 76,6.0,60.0,-2.942857142857143
Query 77,2.0,20.0,-3.0
Query 78,0.0,0.0,0.0
Query 79,1.0,10.0,0.0
Query 80,4.0,40.0,-9.6
Query 81,3.0,30.0,-9.0
Query 82,1.0,10.0,0.0
Query 83,1.0,10.0,0.0
Query 84,1.0,10.0,0.0
Query 85,0.0,0.0,0.0
Query 86,1.0,10.0,0.0
Query 87,2.0,20.0,-16.0
Query 88,1.0,10.0,0.0
Query 89,2.0,20.0,0.0
Query 90,4.0,40.0,-3.0999999999999996
Query 91,2.0,20.0,-12.0
Query 92,3.0,30.0,-21.25
Query 93,0.0,0.0,0.0
Query 94,4.0,40.0,-9.1
Query 95,6.0,60.0,-4.257142857142857
Query 96,3.0,30.0,-15.25
Query 97,1.0,10.0,0.0
Query 98,2.0,20.0,-72.0
Query 99,3.0,30.0,-10.0
Query 100,2.0,20.0,-9.0
Averages,2.28,22.8,-9.618000000000002
